url	name	price	stem_type	feel	pin_count	force	silent	color
https://mechanicalkeyboards.com/products/gateron-ink-black-v2-60g-linear-pcb	Gateron Ink Black V2 60g Linear PCB Mount Switch	$0.85	MX	Linear	5	60 cN	No	Black
https://mechanicalkeyboards.com/products/kailh-box-jade-50g-clicky-plate-mount	Kailh BOX Jade 50g Clicky Plate Mount Switch	$0.40	MX	Clicky		50 cN	No	Green
https://mechanicalkeyboards.com/products/sw-x-haimu-mp-linear-45g-pcb-mount-switch	SW x Haimu MP Linear 45g PCB Mount Switch	$0.40	MX	Linear	5	45 cN		Frosted
https://mechanicalkeyboards.com/products/gateron-x-sw-pure-berry-linear-pcb-mount-switch	Gateron X SW Pure Berry Linear PCB Mount Switch	$0.48	MX		5			Pink
https://mechanicalkeyboards.com/products/sw-x-gateron-deepping-58g-linear	SW x Gateron Deepping 58g Linear PCB Mount Switch	$0.88	MX	Linear	5			Black
https://mechanicalkeyboards.com/products/gateron-baby-kangaroo-59g-tactile-pcb-mount-lubed-switch	Gateron Baby Kangaroo 59g Tactile PCB Mount Lubed Switch	$0.70	MX	Tactile	5	59 cN	No	Green
https://mechanicalkeyboards.com/products/ttc-silent-red-56g-linear-plate-mount-lubed-switch	TTC Silent Red 56g Linear Plate Mount Lubed Switch	$0.65	MX	Linear	3	53 cN	Yes	Pink
https://mechanicalkeyboards.com/products/ttc-gold-pink-37g-linear-plate-mount-lubed	TTC Gold Pink 37g Linear Plate Mount Lubed Switches	$0.50	MX	Linear	3	37 cN	No	Pink
https://mechanicalkeyboards.com/products/ktt-phalaenopsis-37g-tactile-plate-mount-switch	KTT Phalaenopsis 37g Tactile Plate Mount Switch	$0.59	MX	Tactile	3	37 cN	No	Purple
https://mechanicalkeyboards.com/products/sw-x-hmx-garnet-45g-linear-pcb-mount-switch	SW x HMX Garnet 45g Linear PCB Mount Switch	$0.34	MX	Linear				Red
https://mechanicalkeyboards.com/products/gateron-g-pro-30-white-38g-linear-pcb-mount	Gateron G Pro 3.0 White 38g Linear PCB Mount Switch	$0.32	MX	Linear	5	38 cN	No	White
https://mechanicalkeyboards.com/products/ktt-vanilla-ice-cream-43g-linear-pcb-mount-switch	KTT Vanilla Ice Cream 43g Linear PCB Mount Switch	$0.49	MX	Linear	5	43 cN	No	Off-White
https://mechanicalkeyboards.com/products/durock-white-lotus-56g-tactile-pcb-mount-lubed-switch	Durock White Lotus 56g Tactile PCB Mount Lubed Switch	$0.70	MX	Tactile		46 cN	No	White
https://mechanicalkeyboards.com/products/kailh-box-deep-sea-silent-45g-linear-plate-mount-switch	Kailh BOX Deep Sea Silent 45g Linear Plate Mount Switch	$0.75	MX	Linear	3	45 cN	No	Clear
https://mechanicalkeyboards.com/products/gateron-north-pole-20-yellow-50g-linear-pcb-mount-lubed-switch	Gateron North Pole 2.0 Yellow 50g Linear PCB Mount Lubed Switch	$0.74	MX	Linear	5	50 cN	No	Clear
